auc_roc,auc_pr,precision,recall,f1,brier,ece_10,latency_mean,latency_p50,latency_p95,latency_p99,throughput_eps,burn_rate_alerts,score_std,score_min,score_max,score_finite_frac,dataset,method,seed,threshold,n_test,uses_fallback,level_target_pct,is_natural,resample_seed,n_redraws,n_flows,achieved_train_prev,achieved_val_prev,achieved_test_prev,cell_wall_s,brier_raw,brier_iso,crc_alpha,crc_tau,elkan_tau,alert_rate,test_fpr,provenance
0.9236961828554456,0.400184692133917,0.2832037710883228,0.9997567146749708,0.4413773844303145,0.1106631657284395,0.2136839799803433,9.732833714535988e-05,0.0,0.0,0.0,18.97037322156836,207659,0.1700187467694661,0.0868650022125582,0.9880619516289004,1.0,cicids2017,hst,11,0.2949320930800335,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,10962.8,,,,,,,,sweep_cell
0.8882494611014493,0.2963965530385726,0.1420179134116154,1.0,0.2487139855579974,0.1509894706819973,0.2769157240502584,0.0,0.0,0.0,0.0,20.338178499055555,207776,0.1774415334639526,0.1227054465552758,0.9954039826047152,1.0,cicids2017,hst,23,0.2602550209811551,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,10224.6,,,,,,,,sweep_cell
0.812030712294893,0.202525517959107,0.2478048780487804,0.987270430473229,0.396170868183502,0.1235345182945581,0.1812135380501965,0.0014251314560912,0.0,0.0,0.0,19.51016664236895,207670,0.1671493690137816,0.0721183611810483,0.9800599789425498,1.0,cicids2017,hst,47,0.2380653659876401,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,10658.4,,,,,,,,sweep_cell
0.8452282848815353,0.2411338897419276,0.2331340932258363,0.9792720903075126,0.3766092814371257,0.3528502326457252,0.5241362829938591,0.0034660328777975,0.0,0.0,0.0,26.47436093769496,207736,0.1068493191030652,0.3316169097740191,0.861619739408462,1.0,cicids2017,loda,11,0.6571096527461795,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,7869.3,,,,,,,,sweep_cell
0.8495242711104175,0.25006512841304,0.2123250583138953,0.989949992717386,0.3496557459979936,0.357501763049239,0.5286404880896954,0.0013713390145949,0.0,0.0,0.0,24.65920993756213,207753,0.1043939581746812,0.339879466503553,0.8613670664689971,1.0,cicids2017,loda,23,0.6434479611989826,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,8444.6,,,,,,,,sweep_cell
0.8532084862844801,0.2510803164553518,0.231319446028885,0.9851812263142552,0.3746674057649667,0.3520497417075285,0.5239238080966613,0.0024107055003443,0.0,0.0,0.0,20.57754396439536,207758,0.1086335728815079,0.325421558737418,0.8626025382586887,1.0,cicids2017,loda,47,0.6558771359721554,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,10105.9,,,,,,,,sweep_cell
0.9720306042554812,0.6981065895570571,0.735729910437905,0.8673608407940833,0.7961412206069538,0.0988889323165953,0.0988891922226411,0.0051345016184842,0.0,0.0,0.0,66.19089953421874,205818,0.0023772437897056,6.171397743537422e-19,1.0,1.0,cicids2017,lof_batch_ref,11,2.4508413848633638e-17,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,3245.2,,,,,,,,sweep_cell
0.9713368533393064,0.6960410254441851,0.7355087486524587,0.86124192843618,0.7934250251593425,0.0991054439769511,0.0991057038829969,0.0051037577117218,0.0,0.0,0.0,82.4480019936532,205835,0.0023772437897056,6.171397743537422e-19,1.0,1.0,cicids2017,lof_batch_ref,23,2.4554610489147162e-17,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,2609.3,,,,,,,,sweep_cell
0.9715377980815308,0.6968601617620457,0.7358389150748367,0.8646875910990186,0.7950768406004288,0.0990332734234991,0.099033533329545,0.0058652664506759,0.0,0.0,0.0,79.09038393773527,205753,0.0023772437897056,6.171397743537422e-19,1.0,1.0,cicids2017,lof_batch_ref,47,2.4542339867613093e-17,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,2718.8,,,,,,,,sweep_cell
0.880076998984064,0.5449978539321754,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.1724239195639255,0.1730122897100817,0.0610291771981055,0.0,1.0,1.0,197.94189575735632,239693,0.3893332531184578,2.547457190678684e-14,1.0,1.0,cicids2017,bocpd_slo,11,0.261744966442953,240000,False,22.06,True,11,0,1600000,0.2145553571428571,0.2170208333333333,0.2523958333333333,10226.3,,,,,,,,sweep_cell+stage1_reuse(control-verified)
0.880076998984064,0.5449978539321754,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.1724239195639255,0.1730122897100817,0.0610291771981055,0.0,1.0,1.0,61.74759836153453,239693,0.3893332531184578,2.547457190678684e-14,1.0,1.0,cicids2017,bocpd_slo,23,0.261744966442953,240000,False,22.06,True,23,0,1600000,0.21455535714285714,0.21702083333333333,0.2523958333333333,,,,,,,,,stage1_reuse
0.880076998984064,0.5449978539321754,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.1724239195639255,0.1730122897100817,0.0610291771981055,0.0,1.0,1.0,66.88183196863297,239693,0.3893332531184578,2.547457190678684e-14,1.0,1.0,cicids2017,bocpd_slo,47,0.261744966442953,240000,False,22.06,True,47,0,1600000,0.21455535714285714,0.21702083333333333,0.2523958333333333,,,,,,,,,stage1_reuse
0.8991845300290038,0.6414394947165107,0.0,0.0,0.0,0.1166462090138691,0.1273968363383563,,,,,197.94189575735632,217539,0.1688904056872634,0.0578034682080924,0.485432081887934,1.0,cicids2017,bocpd_v1_iso_crc,11,0.4854320818879341,240000,False,22.06,True,11,0,1600000,0.2145553571428571,0.2170208333333333,0.2523958333333333,10226.3,0.1724239195639255,0.1166462090138691,0.01,0.4854320818879341,0.0909090909090909,0.0,0.0,sweep_cell
